GENE_NAME	REFSEQ_ID	PROXIMAL_STITCHED_PEAKS
Phc3	NM_001165955	chr3:31001371-31018012
Phlpp2	NM_001122594	chr8:109874200-109885553
Phox2b	NM_008888	chr5:67083189-67094556
Pisd-ps3	NR_003518	chrUn_JH584304:38757-38939
Pkd2	NM_008861	chr5:104434014-104443176
Pla2g2c	NM_008868	chr4:138682695-138693694
Plcg2	NM_172285	chr8:117493526-117504032
Pld6	NM_183139	chr11:59814350-59821932
Plk1s1	NM_001033298	chr2:146823373-146838982,chr2:146911278-146921472
Pnpla6	NM_001122818	chr8:3546603-3552597
Pola1	NM_008892	chrX:93663887-93673350
Porcn	NM_145908	chrX:8207221-8220025
Pou2f3	NM_011139	chr9:43188633-43191963
Pp2d1	NM_173449	chr17:53551474-53562079
Ppap2b	NM_080555	chr4:105159359-105169496
Ppcs	NM_026494	chr4:119403504-119412204
Ppm1m	NM_198931	chr9:106167745-106172217
Prdm13	NM_001080771	chr4:21722986-21723381
Prickle1	NM_001033217	chr15:93519558-93521468
Prim2	NM_008922	chr1:33494583-33504693
Prkaa2	NM_178143	chr4:105159359-105169496
Prkar2a	NM_008924	chr9:108703955-108711097
Prkce	NM_011104	chr17:86136395-86148865
Prkci	NM_008857	chr3:31001371-31018012
Prkg1	NM_011160	chr19:31100777-31120236
Prmt8	NM_201371	chr6:127692254-127701362
Prpf4b	NM_013830	chr13:34827141-34831119
Prrg4	NM_178695	chr2:104817969-104826510
Prss54	NM_027640	chr8:95528356-95532449
Prss56	NM_027084	chr1:87224855-87230941
Psg19	NM_011964	chr7:18746674-18755392
Psg22	NM_001004152	chr7:18746674-18755392
Psma8	NM_001163609	chr18:14674316-14677138
Ptch1	NM_008957	chr13:63528833-63530856
Ptpn22	NM_008979	chr3:103840160-103850871
Ptprd	NM_011211	chr4:76011820-76014820
Ptprg	NM_008981	chr14:11663638-11680073
Ptprn2	NM_011215	chr12:117235203-117240719
Pvrl2	NM_001159724	chr7:19741644-19742789
Pvt1	NR_003368	chr15:62010824-62013000
Pxk	NM_145458	chr14:8139665-8140749
Pxt1	NM_153390	chr17:28981071-28985048
Pycrl	NM_025412	chr15:75877775-75889848
Qser1	NM_001123327	chr2:104817969-104826510
Rab25	NM_016899	chr3:88571941-88575859
Rabgef1	NM_001199059	chr5:130186864-130198769
Rad21	NM_009009	chr15:52002519-52013387
Rai14	NM_001166408	chr15:10711327-10723910
Ralb	NM_022327	chr1:119486795-119497923
Ralgapa2	NM_001033348	chr2:146299975-146302726
Rbfa	NM_199197	chr18:80184693-80186288
Rbfox2	NM_175387	chr15:77102581-77109820,chr15:77202198-77207416
Rbl1	NM_011249	chr2:157235993-157248452
Rbm48	NM_172991	chr5:3577075-3578932
Rbms3	NM_001172121	chr9:116912587-116920069
Rcn1	NM_009037	chr2:105400714-105408728
Rfng	NM_009053	chr11:120777113-120780307
Rftn2	NM_028713	chr1:55186865-55206042
Rfx4	NM_001024918	chr10:84836173-84839479
Rhbdf2	NM_001167680	chr11:116586417-116586719
Rhpn2	NM_027897	chr7:35322850-35335478
Rif1	NM_175238	chr2:52071339-52072406
Rims4	NM_183023	chr2:163883313-163894846
Rlim	NM_011276	chrX:103981843-103986609
Rnd2	NM_009708	chr11:101479331-101484222
Rnf135	NM_028019	chr11:80131928-80138101
Rpf1	NM_027371	chr3:146469268-146473096
Rpl27	NM_011289	chr11:101479331-101484222
Rpl9	NM_011292	chr5:65441368-65449138
Rpn2	NM_019642	chr2:157235993-157248452
Rps12	NM_011295	chr10:23806198-23813464
Rragd	NM_027491	chr4:32948745-32956836
Rrm2b	NM_199476	chr15:37973073-37977434
Rsbn1l	NM_001080977	chr5:20964451-20974325
Rsph1	NM_025290	chr17:31264153-31267418
Sacs	NM_172809	chr14:61134214-61139037
Sall1	NM_021390	chr8:88991965-89003835
Satb1	NM_001163630	chr17:51836988-51839819
Scaf4	NM_178923	chr16:90299654-90310162
Scarb2	NM_007644	chr5:92498224-92504495
Scgn	NM_145399	chr13:23995561-24002212
Sco1	NM_001040026	chr11:67011728-67024376
Scube2	NM_020052	chr7:109873302-109881905
Serbp1	NM_001113564	chr6:67236496-67238306
Sesn3	NM_030261	chr9:14233812-14245432
Sgce	NM_011360	chr6:4738779-4740161
Sgk2	NM_013731	chr2:163031724-163034967
Sgms1	NM_144792	chr19:32255389-32271601
Sgsh	NM_018822	chr11:119395471-119404253
Shank1	NM_001034115	chr7:44276518-44287926
She	NM_172530	chr3:89822259-89826915
Sik2	NM_178710	chr9:50980615-50982083
Skap1	NM_001177899	chr11:96727538-96733121
Slc10a7	NM_029736	chr8:78578014-78584389
Slc15a4	NM_133895	chr5:127660423-127670391
Slc18b1	NM_183116	chr10:23806198-23813464
Slc22a23	NM_001033167	chr13:34238345-34249210
Slc25a20	NM_020520	chr9:108703955-108711097
Slc25a21	NM_001167976	chr12:57098979-57099341
Slc25a43	NR_075097	chrX:36763723-36775876
Slc25a5	NM_007451	chrX:36763723-36775876
Slc26a11	NM_178743	chr11:119395471-119404253
Slc31a1	NM_175090	chr4:62306440-62314972
Slc31a2	NM_025286	chr4:62306440-62314972
Slc37a1	NM_153062	chr17:31264153-31267418
Slc38a7	NM_172758	chr8:95830217-95833760
Slc39a10	NM_172653	chr1:46858441-46863851
Slc41a2	NM_177388	chr10:83344244-83346362
Slc5a1	NM_019810	chr5:33102405-33107369
Smg7	NM_001160257	chr1:152917700-152917927
Smim12	NM_030252	chr4:127224396-127227696
Smim14	NM_133697	chr5:65441368-65449138
Smyd3	NM_027188	chr1:179272294-179277251
Snd1	NM_019776	chr6:28748285-28762760
Snora33	NR_037680	chr10:23806198-23813464
Snora75	NR_028478	chr1:86309305-86311294
Snord100	NR_037681	chr10:23806198-23813464
Snord64	NR_028529	chr7:60006239-60008207
Snord71	NR_028532	chr8:109874200-109885553
Snord82	NR_002851	chr1:86309305-86311294
Snord88a	NR_028533	chr7:44276518-44287926
Snord88c	NR_028534	chr7:44276518-44287926
Snrpn	NM_001082962	chr7:60006239-60008207
Sntb1	NM_016667	chr15:55655031-55660354
Snx11	NM_028965	chr11:96727538-96733121
Socs2	NM_001168657	chr10:95456124-95461624
Sox1	NM_009233	chr8:12431644-12434066
Sox2	NM_011443	chr3:34646220-34654207
Sox2ot	NR_015580	chr3:34646220-34654207
Sox9	NM_011448	chr11:112811089-112820426
Spaca7	NM_024279	chr8:12535255-12548300
Spata1	NM_027617	chr3:146469268-146473096
Spata13	NM_001033272	chr14:60643048-60655967
Spats2	NM_139140	chr15:99195132-99206318
Spin1	NM_146043	chr13:51122543-51125784
Spink2	NM_183284	chr5:77186425-77189163
Spns3	NM_029932	chr11:72576497-72576936
Spp1	NM_009263	chr5:104434014-104443176
Sptlc2	NM_011479	chr12:87313216-87318234
Sqle	NM_009270	chr15:59294527-59302566
Srbd1	NM_030133	chr17:86136395-86148865
Srgap3	NM_080448	chr6:112949404-112950670
Srgn	NM_011157	chr10:62474911-62477348
Srsf1	NM_173374	chr11:88025383-88028027
Srsf3	NR_036613	chr17:28981071-28985048
Ss18	NM_001161371	chr18:14674316-14677138
Ssr2	NM_025448	chr3:88571941-88575859
St18	NM_001244693	chr1:6448318-6458364
Stac	NM_016853	chr9:111725098-111732729
Stk38	NM_134115	chr17:28981071-28985048
Stt3a	NM_008408	chr9:36794534-36803259
Supv3l1	NM_181423	chr10:62474911-62477348
Svil	NM_153153	chr18:5011647-5015218
Sycp1-ps1	NR_024208	chr7:18746674-18755392
Syk	NM_001198977	chr13:52556271-52562744
Syt1	NM_001252341	chr10:108568233-108573078
Syt9	NM_021889	chr7:107339599-107349626
Tada2a	NM_172562	chr11:84081639-84089210
Tango2	NM_138583	chr16:18316450-18321802
Tbc1d25	NM_001166437	chrX:8207221-8220025
Tbl1x	NM_020601	chrX:77512988-77525499
Tcf7l1	NM_009332	chr6:72787362-72795335,chr6:72753910-72758781
Tdh	NM_021480	chr14:63500247-63512856
Tead1	NM_009346	chr7:112688466-112691461
Tead4	NM_011567	chr6:128254583-128261973
Tefm	NM_183275	chr11:80131928-80138101
Terf1	NM_009352	chr1:15789153-15792057
Tet2	NM_001040400	chr3:133518762-133534367
Tet3	NM_183138	chr6:83421778-83422175
Tfb1m	NM_146074	chr17:3505641-3516670
Thada	NM_183021	chr17:84351187-84355376
Thsd4	NM_001040426	chr9:60430105-60434429
Thsd7a	NM_001164805	chr6:12550215-12551554
Tiam2	NM_011878	chr17:3505641-3516670
Tifab	NM_145976	chr13:56216082-56222323
Tigd5	NM_178646	chr15:75877775-75889848
Tmem123	NM_133739	chr9:7711232-7721944
Tmem135	NM_028343	chr7:89329659-89342339
Tmem185b	NM_146103	chr1:119486795-119497923
Tmem220	NM_177392	chr11:67011728-67024376
Tmem248	NM_001081394	chr5:130186864-130198769
Tnfaip6	NM_009398	chr2:52071339-52072406
Tnrc18	NM_001122730	chr5:142800645-142806563
Tnrc6c	NM_198022	chr11:117629860-117638500
Tns4	NM_172564	chr11:99117965-99123095
Tom1	NM_001136259	chr8:75014054-75016282
Tomm40	NM_001109748	chr7:19741644-19742789
Topors	NM_134097	chr4:40233108-40238749
Traip	NM_011634	chr9:107958676-107961853
Trh	NM_009426	chr6:92246383-92247876
Trim2	NM_001271726	chr3:84181769-84206855
Trim60	NM_153097	chr8:65062215-65064532
Tsc22d1	NM_207652	chr14:76455854-76461855
Tshz3	NM_172298	chr7:36678234-36690881
Tsta3	NM_031201	chr15:75877775-75889848
Tstd3	NM_029840	chr4:21722986-21723381
Ttc39b	NM_027238	chr4:83328526-83330754
Ttll11	NM_029774	chr2:35841064-35846141
Ttn	NM_011652	chr2:77012149-77019512
Twf2	NM_011876	chr9:106167745-106172217
Twist2	NM_007855	chr1:91765930-91778621
Txlnb	NM_138628	chr10:17808630-17820924
Txnl4a	NM_025299	chr18:80184693-80186288
Uba7	NM_023738	chr9:107958676-107961853
Ubac1	NM_133835	chr2:26055304-26055790
Ube2g1	NM_025985	chr11:72576497-72576936
Ube2o	NM_173755	chr11:116586417-116586719
Ube2q1	NM_027315	chr3:89822259-89826915
Ubl3	NM_011908	chr5:148538824-148550872
Ubqln4	NM_033526	chr3:88571941-88575859
Ubr5	NM_001081359	chr15:37973073-37977434,chr15:38059767-38060230
Ubxn10	NM_178671	chr4:138682695-138693694
Ugdh	NM_009466	chr5:65441368-65449138
Urgcp	NM_178623	chr11:5695158-5703035
Usp14	NM_001038589	chr18:10049393-10049773
Usp53	NM_133857	chr3:122936684-122938756
Usp7	NM_001003918	chr16:8767371-8779009,chr16:8706515-8709140
Utrn	NM_011682	chr10:12541780-12554566,chr10:12608653-12614918
Vat1	NM_012037	chr11:101479331-101484222
Vezf1	NM_016686	chr11:88025383-88028027
Vipas39	NM_134044	chr12:87313216-87318234
Vmn1r1	NM_001166728	chr1:182181819-182191506
Vmn1r209	NM_001013787	chr13:22841605-22844732
Vmn1r210	NM_134235	chr13:22841605-22844732
Vmn1r211	NM_134243	chr13:22841605-22844732
Vmn1r212	NM_134241	chr13:22841605-22844732
Vmn2r3	NM_001104614	chr3:64265785-64269004
Vnn3	NM_011979	chr10:23806198-23813464
Vps13d	NM_001276465	chr4:144996965-145006617
Vps26a	NM_133672	chr10:62474911-62477348
Vrtn	NM_001168589	chr12:84618958-84625343
Vsx2	NM_007701	chr12:84618958-84625343
Vti1a	NM_016862	chr19:55543174-55556058
Wdr82	NM_029896	chr9:106167745-106172217
Wnt8a	NM_009290	chr18:34551721-34555554
Wscd1	NM_177618	chr11:71763571-71765611
Xpnpep2	NM_133213	chrX:48062890-48072360
Xpo6	NM_028816	chr7:126218341-126221017
Xrcc2	NM_020570	chr5:25671142-25676452
Yrdc	NM_153566	chr4:124825058-124833160
Zbtb20	NM_019778	chr16:43603858-43607319
Zc3h3	NM_172121	chr15:75877775-75889848
Zfhx3	NM_007496	chr8:108722885-108730283
Zfp1	NM_011742	chr8:111613194-111626600
Zfp273	NM_198322	chr13:67849265-67858006
Zfp518b	NM_001177902	chr5:38642596-38653526
Zfp521	NM_145492	chr18:13712598-13719972
Zfp54	NM_011760	chr17:21368028-21375579
Zfp572	NR_045613	chr15:59294527-59302566
Zfp667	NM_001024928	chr7:6258201-6259271
Zfp677	NM_172486	chr17:21368028-21375579
Zfyve1	NM_183154	chr12:83556078-83570290
Zfyve20	NM_030081	chr6:92246383-92247876
Zic3	NM_009575	chrX:58039826-58042187
Zmynd12	NM_001014900	chr4:119403504-119412204
Zmynd8	NM_027230	chr2:165800297-165810287
Znrf1	NM_001168623	chr8:111613194-111626600
Zrsr1	NM_011663	chr11:22936408-22949339
Zscan5b	NM_133204	chr7:6258201-6259271
