ATAC summit (left anchor),ATAC summit (right anchor)
chr12:86895560-86895561,chr12:86884820-86884821
chr12:86884820-86884821,chr12:86888742-86888743
chr12:86895560-86895561,chr12:86802970-86802971
chr12:86884820-86884821,chr12:86825328-86825329
chr12:86895560-86895561,chr12:86802970-86802971
chr12:86895560-86895561,chr12:86825328-86825329
chr12:87388206-87388207,chr12:87381726-87381727
chr12:87408202-87408203,chr12:87388206-87388207
chr12:91849330-91849331,chr12:91589935-91589936
chr12:95695212-95695213,chr12:95490328-95490329
chr12:98736156-98736157,chr12:98258567-98258568
chr12:98736156-98736157,chr12:98283985-98283986
chr12:98736156-98736157,chr12:98714027-98714028
chr12:100187559-100187560,chr12:100159802-100159803
chr12:100200939-100200940,chr12:100187559-100187560
chr12:100354948-100354949,chr12:100187559-100187560
chr12:100521030-100521031,chr12:100187559-100187560
chr12:101850844-101850845,chr12:101083732-101083733
chr12:101913244-101913245,chr12:101850844-101850845
chr12:101975765-101975766,chr12:101083732-101083733
chr12:101858031-101858032,chr12:101850844-101850845
chr12:101913244-101913245,chr12:101083732-101083733
chr12:101975765-101975766,chr12:101913244-101913245
chr12:102285333-102285334,chr12:101913244-101913245
chr12:102285333-102285334,chr12:101975765-101975766
chr12:102439528-102439529,chr12:102262195-102262196
chr12:102469001-102469002,chr12:101975765-101975766
chr12:102285333-102285334,chr12:101975765-101975766
chr12:104984507-104984508,chr12:104977684-104977685
chr12:105003357-105003358,chr12:104984507-104984508
chr12:104992514-104992515,chr12:104977684-104977685
chr12:105003357-105003358,chr12:104984507-104984508
chr12:105009009-105009010,chr12:104992514-104992515
chr12:105003357-105003358,chr12:104984507-104984508
chr12:105009009-105009010,chr12:104992514-104992515
chr12:105009009-105009010,chr12:105003357-105003358
chr12:105033049-105033050,chr12:105003357-105003358
chr12:105033049-105033050,chr12:105009009-105009010
chr12:105685789-105685790,chr12:105009009-105009010
chr12:105784462-105784463,chr12:105685789-105685790
chr12:108394318-108394319,chr12:108370673-108370674
chr12:108422997-108422998,chr12:108394318-108394319
chr12:108489300-108489301,chr12:108394318-108394319
chr12:108835864-108835865,chr12:108793107-108793108
chr12:110591585-110591586,chr12:110434047-110434048
chr12:110591585-110591586,chr12:110446777-110446778
chr12:110601339-110601340,chr12:110591585-110591586
chr12:110608974-110608975,chr12:110591585-110591586
chr12:110738396-110738397,chr12:110601339-110601340
chr12:110845274-110845275,chr12:110591585-110591586
chr12:110850739-110850740,chr12:110591585-110591586
chr12:111039133-111039134,chr12:110591585-110591586
chr12:110608974-110608975,chr12:110591585-110591586
chr12:111039133-111039134,chr12:110937783-110937784
chr12:111430677-111430678,chr12:111377758-111377759
chr12:111538247-111538248,chr12:111430677-111430678
chr12:111436838-111436839,chr12:111430677-111430678
chr12:111442721-111442722,chr12:111430677-111430678
chr12:111446412-111446413,chr12:111430677-111430678
chr12:111449968-111449969,chr12:111430677-111430678
chr12:111456000-111456001,chr12:111449968-111449969
chr12:111538247-111538248,chr12:111377758-111377759
chr12:111456000-111456001,chr12:111430677-111430678
chr12:111574353-111574354,chr12:111538247-111538248
chr12:111574353-111574354,chr12:111568996-111568997
chr12:111687299-111687300,chr12:111677959-111677960
chr12:111713458-111713459,chr12:111677959-111677960
chr12:111713458-111713459,chr12:111697639-111697640
chr12:111713458-111713459,chr12:111701097-111701098
chr12:111713458-111713459,chr12:111704489-111704490
chr12:112589009-112589010,chr12:112578648-112578649
chr12:112595430-112595431,chr12:112578648-112578649
chr12:112617493-112617494,chr12:112589009-112589010
chr12:112796004-112796005,chr12:112578648-112578649
chr12:112595430-112595431,chr12:112578648-112578649
chr12:112796004-112796005,chr12:112693641-112693642
chr12:112796004-112796005,chr12:112743466-112743467
chr12:112809784-112809785,chr12:112796004-112796005
chr12:112829658-112829659,chr12:112796004-112796005
chr12:112851440-112851441,chr12:112809784-112809785
chr12:113140104-113140105,chr12:112796004-112796005
chr12:113156237-113156238,chr12:113000741-113000742
chr12:112829658-112829659,chr12:112796004-112796005
chr12:113013210-113013211,chr12:112796004-112796005
chr12:116280826-116280827,chr12:116263055-116263056
chr12:116280826-116280827,chr12:116269649-116269650
chr12:116293777-116293778,chr12:116280826-116280827
chr12:116317513-116317514,chr12:116280826-116280827
chr12:116405443-116405444,chr12:116280826-116280827
chr13:3611243-3611244,chr13:3537012-3537013
chr13:5861386-5861387,chr13:4672825-4672826
chr13:6475080-6475081,chr13:4712790-4712791
chr13:4771477-4771478,chr13:4672825-4672826
chr13:5347060-5347061,chr13:4712790-4712791
chr13:5861386-5861387,chr13:4771477-4771478
chr13:5866321-5866322,chr13:5060656-5060657
chr13:5892712-5892713,chr13:5347060-5347061
chr13:6475080-6475081,chr13:5347060-5347061
chr13:4771477-4771478,chr13:4771477-4771478
chr13:5347060-5347061,chr13:5347060-5347061
chr13:5861386-5861387,chr13:4661983-4661984
chr13:6030311-6030312,chr13:4672825-4672826
chr13:6192849-6192850,chr13:4712790-4712791
chr13:6475080-6475081,chr13:4771477-4771478
chr13:5347060-5347061,chr13:5060656-5060657
chr13:5845299-5845300,chr13:5302640-5302641
chr13:5861386-5861387,chr13:5347060-5347061
chr13:5866321-5866322,chr13:5412204-5412205
chr13:5871212-5871213,chr13:5423716-5423717
chr13:5892712-5892713,chr13:5724531-5724532
chr13:6030311-6030312,chr13:5804502-5804503
chr13:6192849-6192850,chr13:5838334-5838335
chr13:6475080-6475081,chr13:5845299-5845300
chr13:5347060-5347061,chr13:4672825-4672826
chr13:5861386-5861387,chr13:4771477-4771478
chr13:5861386-5861387,chr13:5347060-5347061
chr13:5804502-5804503,chr13:5845299-5845300
chr13:5838334-5838335,chr13:4771477-4771478
chr13:5845299-5845300,chr13:5347060-5347061
chr13:5861386-5861387,chr13:5347060-5347061
chr13:5866321-5866322,chr13:4672825-4672826
chr13:5871212-5871213,chr13:4771477-4771478
chr13:5886704-5886705,chr13:5347060-5347061
chr13:5892712-5892713,chr13:5861386-5861387
chr13:6030311-6030312,chr13:5866321-5866322
chr13:6192849-6192850,chr13:5886704-5886705
chr13:6475080-6475081,chr13:5866321-5866322
chr13:5861386-5861387,chr13:5892712-5892713
chr13:5861386-5861387,chr13:4712790-4712791
chr13:5861386-5861387,chr13:4771477-4771478
chr13:5861386-5861387,chr13:5347060-5347061
chr13:6192849-6192850,chr13:5861386-5861387
chr13:6475080-6475081,chr13:5866321-5866322
chr13:5861386-5861387,chr13:5871212-5871213
chr13:6475080-6475081,chr13:5892712-5892713
chr13:5861386-5861387,chr13:4712790-4712791
chr13:5866321-5866322,chr13:4771477-4771478
chr13:6192849-6192850,chr13:5347060-5347061
chr13:6475080-6475081,chr13:5804502-5804503
chr13:5892712-5892713,chr13:5845299-5845300
chr13:6030311-6030312,chr13:5861386-5861387
chr13:6192849-6192850,chr13:5866321-5866322
chr13:6475080-6475081,chr13:5871212-5871213
chr13:6485162-6485163,chr13:5886704-5886705
chr13:6505869-6505870,chr13:5892712-5892713
chr13:6548034-6548035,chr13:6023708-6023709
chr13:5892712-5892713,chr13:6030311-6030312
chr13:6023708-6023709,chr13:6060339-6060340
chr13:6030311-6030312,chr13:6109266-6109267
chr13:6192849-6192850,chr13:6127495-6127496
chr13:6475080-6475081,chr13:4661983-4661984
chr13:6485162-6485163,chr13:4672825-4672826
chr13:6548034-6548035,chr13:4712790-4712791
chr13:6030311-6030312,chr13:4771477-4771478
chr13:6192849-6192850,chr13:5347060-5347061
chr13:6475080-6475081,chr13:5804502-5804503
chr13:6485162-6485163,chr13:5838334-5838335
chr13:6548034-6548035,chr13:5845299-5845300
chr13:5892712-5892713,chr13:5861386-5861387
chr13:6192849-6192850,chr13:5866321-5866322
chr13:6475080-6475081,chr13:5871212-5871213
chr13:6023708-6023709,chr13:5886704-5886705
chr13:6030311-6030312,chr13:5892712-5892713
chr13:6192849-6192850,chr13:5931492-5931493
chr13:6475080-6475081,chr13:5939045-5939046
chr13:6485162-6485163,chr13:6023708-6023709
chr13:6475080-6475081,chr13:6030311-6030312
chr13:6475080-6475081,chr13:6060339-6060340
chr13:6192849-6192850,chr13:6089870-6089871
chr13:6475080-6475081,chr13:6109266-6109267
chr13:6548034-6548035,chr13:6127495-6127496
chr13:6192849-6192850,chr13:6192849-6192850
chr13:6475080-6475081,chr13:5861386-5861387
chr13:6485162-6485163,chr13:5866321-5866322
chr13:6192849-6192850,chr13:5871212-5871213
chr13:6475080-6475081,chr13:5892712-5892713
chr13:6475080-6475081,chr13:6030311-6030312
chr13:6192849-6192850,chr13:6475080-6475081
chr13:6475080-6475081,chr13:5861386-5861387
chr13:6192849-6192850,chr13:5861386-5861387
chr13:6475080-6475081,chr13:5866321-5866322
chr13:6475080-6475081,chr13:5871212-5871213
chr13:6548034-6548035,chr13:6023708-6023709
chr13:6485162-6485163,chr13:6192849-6192850
chr13:8885703-8885704,chr13:8871466-8871467
chr13:9093766-9093767,chr13:8995630-8995631
chr13:13575129-13575130,chr13:13563065-13563066
chr13:13590080-13590081,chr13:13575129-13575130
chr13:14039615-14039616,chr13:13575129-13575130
chr13:14613252-14613253,chr13:14039615-14039616
chr13:14063679-14063680,chr13:13954570-13954571
chr13:14613252-14613253,chr13:14039615-14039616
chr13:15465715-15465716,chr13:14613252-14613253
chr13:15465715-15465716,chr13:14630064-14630065
chr13:15465715-15465716,chr13:14930070-14930071
chr13:15514577-15514578,chr13:15465715-15465716
chr13:15561658-15561659,chr13:15465715-15465716
chr13:15624433-15624434,chr13:15465715-15465716
chr13:15741750-15741751,chr13:15465715-15465716
chr13:15762252-15762253,chr13:15465715-15465716
chr13:15777975-15777976,chr13:15465715-15465716
chr13:15781734-15781735,chr13:15465715-15465716
chr13:15805813-15805814,chr13:15781734-15781735
chr13:15879739-15879740,chr13:15465715-15465716
chr13:15898396-15898397,chr13:15777975-15777976
chr13:15907992-15907993,chr13:15781734-15781735
chr13:16013700-16013701,chr13:15787906-15787907
chr13:16013700-16013701,chr13:15805813-15805814
chr13:15805813-15805814,chr13:15465715-15465716
chr13:15879739-15879740,chr13:15777975-15777976
chr13:15898396-15898397,chr13:15781734-15781735
chr13:16007925-16007926,chr13:15805813-15805814
chr13:16013700-16013701,chr13:15465715-15465716
chr13:16299375-16299376,chr13:15777975-15777976
chr13:16661823-16661824,chr13:15781734-15781735
chr13:16667781-16667782,chr13:15787906-15787907
chr13:16716220-16716221,chr13:15805813-15805814
chr13:16737695-16737696,chr13:15879739-15879740
chr13:16761523-16761524,chr13:15465715-15465716
chr13:15787906-15787907,chr13:15781734-15781735
chr13:15805813-15805814,chr13:15805813-15805814
chr13:15879739-15879740,chr13:15898396-15898397
chr13:15898396-15898397,chr13:15805813-15805814
chr13:15907992-15907993,chr13:15777975-15777976
chr13:16007925-16007926,chr13:15781734-15781735
chr13:16013700-16013701,chr13:15805813-15805814
chr13:16299375-16299376,chr13:15465715-15465716
chr13:16661823-16661824,chr13:15762252-15762253
chr13:16667781-16667782,chr13:15777975-15777976
chr13:16716220-16716221,chr13:15781734-15781735
chr13:16737695-16737696,chr13:15787906-15787907
chr13:16761523-16761524,chr13:15805813-15805814
chr13:15805813-15805814,chr13:15846138-15846139
chr13:15898396-15898397,chr13:15879739-15879740
chr13:16013700-16013701,chr13:15898396-15898397
chr13:16661823-16661824,chr13:15907992-15907993
chr13:16667781-16667782,chr13:15992534-15992535
chr13:16716220-16716221,chr13:16007925-16007926
chr13:16737695-16737696,chr13:15777975-15777976
chr13:16761523-16761524,chr13:15781734-15781735
chr13:15846138-15846139,chr13:15805813-15805814
chr13:15879739-15879740,chr13:16013700-16013701
chr13:15898396-15898397,chr13:16299375-16299376
chr13:15907992-15907993,chr13:16013700-16013701
chr13:15992534-15992535,chr13:15777975-15777976
chr13:16007925-16007926,chr13:15781734-15781735
chr13:16013700-16013701,chr13:15787906-15787907
chr13:16299375-16299376,chr13:15805813-15805814
chr13:16661823-16661824,chr13:16013700-16013701
chr13:16667781-16667782,chr13:16299375-16299376
chr13:16716220-16716221,chr13:15777975-15777976
chr13:16737695-16737696,chr13:15781734-15781735
chr13:16761523-16761524,chr13:15787906-15787907
chr13:17695452-17695453,chr13:15805813-15805814
chr13:16013700-16013701,chr13:15879739-15879740
chr13:15898396-15898397,chr13:15898396-15898397
chr13:16013700-16013701,chr13:15907992-15907993
chr13:16667781-16667782,chr13:16007925-16007926
chr13:16737695-16737696,chr13:16013700-16013701
chr13:15907992-15907993,chr13:16176818-16176819
chr13:16013700-16013701,chr13:16299375-16299376
chr13:16667781-16667782,chr13:16641174-16641175
chr13:16716220-16716221,chr13:16661823-16661824
chr13:16761523-16761524,chr13:15777975-15777976
chr13:16013700-16013701,chr13:15781734-15781735
chr13:16667781-16667782,chr13:15787906-15787907
chr13:16737695-16737696,chr13:15805813-15805814
chr13:16761523-16761524,chr13:15898396-15898397
chr13:16013700-16013701,chr13:16007925-16007926
chr13:16737695-16737696,chr13:16013700-16013701
chr13:16013700-16013701,chr13:16299375-16299376
chr13:16667781-16667782,chr13:16661823-16661824
chr13:16716220-16716221,chr13:16667781-16667782
chr13:16737695-16737696,chr13:15777975-15777976
chr13:16641174-16641175,chr13:15781734-15781735
chr13:16656294-16656295,chr13:15787906-15787907
chr13:16661823-16661824,chr13:15805813-15805814
chr13:16667781-16667782,chr13:15879739-15879740
chr13:16716220-16716221,chr13:15907992-15907993
chr13:16737695-16737696,chr13:15992534-15992535
chr13:16761523-16761524,chr13:16007925-16007926
chr13:16847738-16847739,chr13:16013700-16013701
chr13:17493751-17493752,chr13:16299375-16299376
chr13:17695452-17695453,chr13:16661823-16661824
chr13:17705431-17705432,chr13:16667781-16667782
chr13:16667781-16667782,chr13:16716220-16716221
chr13:16641174-16641175,chr13:15777975-15777976
chr13:16661823-16661824,chr13:15781734-15781735
chr13:16667781-16667782,chr13:15787906-15787907
chr13:16716220-16716221,chr13:15805813-15805814
chr13:16737695-16737696,chr13:15898396-15898397
chr13:16761523-16761524,chr13:15907992-15907993
chr13:16667781-16667782,chr13:16013700-16013701
chr13:16761523-16761524,chr13:16299375-16299376
chr13:16667781-16667782,chr13:16641174-16641175
chr13:16716220-16716221,chr13:16661823-16661824
chr13:16737695-16737696,chr13:16667781-16667782
chr13:16761523-16761524,chr13:16716220-16716221
chr13:16716220-16716221,chr13:16737695-16737696
chr13:16737695-16737696,chr13:16013700-16013701
chr13:16761523-16761524,chr13:16667781-16667782
chr13:17212767-17212768,chr13:16716220-16716221
chr13:17493751-17493752,chr13:16761523-16761524
chr13:17695452-17695453,chr13:16013700-16013701
chr13:16737695-16737696,chr13:16667781-16667782
chr13:16761523-16761524,chr13:16716220-16716221
chr13:17212767-17212768,chr13:16737695-16737696
chr13:17493751-17493752,chr13:16761523-16761524
chr13:16761523-16761524,chr13:16737695-16737696
chr13:17493751-17493752,chr13:16761523-16761524
chr13:17511876-17511877,chr13:15805813-15805814
chr13:17695452-17695453,chr13:16013700-16013701
chr13:17212767-17212768,chr13:16667781-16667782
chr13:17493751-17493752,chr13:16737695-16737696
chr13:17605193-17605194,chr13:16761523-16761524
chr13:17695452-17695453,chr13:16013700-16013701
chr13:17705431-17705432,chr13:17695452-17695453
chr13:21200241-21200242,chr13:21179658-21179659
chr13:21783682-21783683,chr13:21402933-21402934
chr13:21408766-21408767,chr13:21179658-21179659
chr13:23446477-23446478,chr13:21975186-21975187
chr13:23530990-23530991,chr13:22021521-22021522
chr13:23556207-23556208,chr13:21914861-21914862
chr13:23562697-23562698,chr13:21940498-21940499
chr13:23571301-23571302,chr13:22021521-22021522
chr13:23586440-23586441,chr13:22050904-22050905
chr13:23621582-23621583,chr13:22021521-22021522
chr13:23739960-23739961,chr13:23432148-23432149
chr13:23749527-23749528,chr13:21783682-21783683
chr13:23432148-23432149,chr13:21914861-21914862
chr13:23446477-23446478,chr13:21940498-21940499
chr13:23519401-23519402,chr13:21944681-21944682
chr13:23432148-23432149,chr13:21975186-21975187
chr13:23446477-23446478,chr13:22021521-22021522
chr13:23519401-23519402,chr13:22028925-22028926
chr13:23446477-23446478,chr13:22050904-22050905
chr13:22021521-22021522,chr13:23432148-23432149
chr13:23446477-23446478,chr13:23437453-23437454
chr13:23519401-23519402,chr13:21914861-21914862
chr13:22028925-22028926,chr13:21940498-21940499
chr13:23432148-23432149,chr13:21975186-21975187
chr13:23437453-23437454,chr13:22021521-22021522
chr13:23446477-23446478,chr13:22028925-22028926
chr13:23519401-23519402,chr13:23432148-23432149
chr13:23530990-23530991,chr13:23437453-23437454
chr13:23446477-23446478,chr13:23446477-23446478
chr13:23519401-23519402,chr13:21783682-21783683
chr13:23432148-23432149,chr13:22021521-22021522
chr13:23446477-23446478,chr13:23432148-23432149
chr13:23586440-23586441,chr13:23446477-23446478
chr13:23437453-23437454,chr13:23519401-23519402
chr13:23446477-23446478,chr13:21783682-21783683
chr13:23519401-23519402,chr13:21783682-21783683
chr13:23530990-23530991,chr13:23556207-23556208
chr13:23446477-23446478,chr13:21783682-21783683
chr13:23519401-23519402,chr13:21783682-21783683
chr13:23519401-23519402,chr13:22050904-22050905
chr13:23530990-23530991,chr13:23556207-23556208
chr13:23530990-23530991,chr13:21783682-21783683
chr13:23562697-23562698,chr13:23586440-23586441
chr13:23586440-23586441,chr13:21783682-21783683
chr13:23749527-23749528,chr13:21783682-21783683
chr13:23621582-23621583,chr13:23556207-23556208
chr13:23749527-23749528,chr13:23586440-23586441
chr13:23749527-23749528,chr13:23621582-23621583
chr13:23749527-23749528,chr13:23739960-23739961
chr13:23762370-23762371,chr13:23749527-23749528
chr13:24800777-24800778,chr13:24792464-24792465
chr13:27027524-27027525,chr13:26940459-26940460
chr13:28757537-28757538,chr13:28751322-28751323
chr13:29573900-29573901,chr13:28953828-28953829
chr13:29985983-29985984,chr13:29855809-29855810
chr13:32630896-32630897,chr13:31807172-31807173
chr13:32722008-32722009,chr13:31807172-31807173
chr13:34130255-34130256,chr13:34079320-34079321
chr13:34652832-34652833,chr13:34162976-34162977
chr13:34874208-34874209,chr13:34652832-34652833
chr13:34708873-34708874,chr13:34652832-34652833
chr13:34715709-34715710,chr13:34652832-34652833
chr13:34789313-34789314,chr13:34162976-34162977
chr13:34874208-34874209,chr13:34652832-34652833
chr13:38012371-38012372,chr13:37994227-37994228
chr13:38037273-38037274,chr13:37994227-37994228
chr13:41001169-41001170,chr13:40854942-40854943
chr13:41249940-41249941,chr13:40854942-40854943
chr13:41605754-41605755,chr13:41339897-41339898
chr13:41358635-41358636,chr13:41358635-41358636
chr13:41372187-41372188,chr13:41358635-41358636
chr13:41476962-41476963,chr13:41249940-41249941
chr13:43318414-43318415,chr13:43304709-43304710
chr13:44730417-44730418,chr13:43864625-43864626
chr13:44730417-44730418,chr13:44317400-44317401
chr13:44730417-44730418,chr13:44321701-44321702
chr13:45389905-45389906,chr13:45003744-45003745
chr13:45398091-45398092,chr13:45003744-45003745
chr13:45398091-45398092,chr13:45389905-45389906
chr13:45965335-45965336,chr13:45679544-45679545
chr13:45965335-45965336,chr13:45530996-45530997
chr13:45965335-45965336,chr13:45577955-45577956
chr13:45685206-45685207,chr13:45614824-45614825
chr13:45965335-45965336,chr13:45679544-45679545
chr13:45965335-45965336,chr13:45685206-45685207
chr13:45965335-45965336,chr13:45747789-45747790
chr13:45965335-45965336,chr13:45828053-45828054
chr13:48260535-48260536,chr13:47777359-47777360
chr13:48966903-48966904,chr13:48878311-48878312
chr13:49214639-49214640,chr13:48966903-48966904
chr13:49299833-49299834,chr13:49214639-49214640
chr13:49421313-49421314,chr13:49294385-49294386
chr13:49299833-49299834,chr13:49214639-49214640
chr13:49421313-49421314,chr13:49299833-49299834
chr13:49583927-49583928,chr13:49299833-49299834
chr13:49583927-49583928,chr13:49421313-49421314
chr13:49583927-49583928,chr13:49460409-49460410
chr13:49583927-49583928,chr13:49467821-49467822
chr13:49583927-49583928,chr13:49492587-49492588
chr13:49583927-49583928,chr13:49547106-49547107
chr13:49607944-49607945,chr13:49583927-49583928
chr13:51853318-51853319,chr13:51846496-51846497
chr13:51859025-51859026,chr13:51846496-51846497
chr13:51886683-51886684,chr13:51853318-51853319
chr13:51962739-51962740,chr13:51846496-51846497
chr13:51969593-51969594,chr13:51853318-51853319
chr13:51976895-51976896,chr13:51846496-51846497
chr13:52002518-52002519,chr13:51853318-51853319
chr13:52025385-52025386,chr13:51846496-51846497
chr13:52082028-52082029,chr13:51853318-51853319
chr13:52175325-52175326,chr13:51846496-51846497
chr13:52236159-52236160,chr13:51846496-51846497
chr13:52659743-52659744,chr13:51853318-51853319
chr13:51859025-51859026,chr13:51859025-51859026
chr13:51886683-51886684,chr13:51886683-51886684
chr13:51962739-51962740,chr13:51962739-51962740
chr13:51969593-51969594,chr13:51969593-51969594
chr13:52002518-52002519,chr13:51976895-51976896
chr13:52082028-52082029,chr13:51846496-51846497
chr13:52236159-52236160,chr13:52002518-52002519
chr13:52002518-52002519,chr13:51846496-51846497
chr13:52002518-52002519,chr13:51853318-51853319
chr13:52082028-52082029,chr13:51886683-51886684
chr13:52002518-52002519,chr13:51962739-51962740
chr13:52082028-52082029,chr13:51969593-51969594
chr13:52002518-52002519,chr13:51976895-51976896
chr13:52082028-52082029,chr13:52002518-52002519
chr13:52002518-52002519,chr13:52025385-52025386
chr13:52082028-52082029,chr13:51846496-51846497
chr13:52025385-52025386,chr13:51846496-51846497
chr13:52082028-52082029,chr13:51853318-51853319
chr13:52236159-52236160,chr13:52002518-52002519
chr13:52082028-52082029,chr13:51846496-51846497
chr13:52973514-52973515,chr13:52659743-52659744
chr13:52976814-52976815,chr13:52659743-52659744
chr13:52981309-52981310,chr13:52676064-52676065
chr13:52976814-52976815,chr13:52659743-52659744
chr13:52981309-52981310,chr13:52676064-52676065
chr13:52981309-52981310,chr13:52766763-52766764
chr13:52981309-52981310,chr13:52973514-52973515
chr13:54313059-54313060,chr13:54303953-54303954
chr13:54323521-54323522,chr13:54313059-54313060
chr13:54575147-54575148,chr13:54565403-54565404
chr13:54589992-54589993,chr13:54575147-54575148
chr13:54622149-54622150,chr13:54589992-54589993
chr13:54688237-54688238,chr13:54622149-54622150
chr13:54694113-54694114,chr13:54688237-54688238
chr13:55445104-55445105,chr13:55362775-55362776
chr13:55511979-55511980,chr13:55362775-55362776
chr13:55511979-55511980,chr13:55445104-55445105
chr13:55536841-55536842,chr13:55482461-55482462
chr13:55511979-55511980,chr13:55445104-55445105
chr13:55536841-55536842,chr13:55511979-55511980
chr13:55570609-55570610,chr13:55536841-55536842
chr13:55600089-55600090,chr13:55593031-55593032
chr13:55623031-55623032,chr13:55600089-55600090
chr13:55623031-55623032,chr13:55612190-55612191
chr13:56600965-56600966,chr13:56582411-56582412
chr13:60454726-60454727,chr13:59875838-59875839
chr13:63120626-63120627,chr13:63045392-63045393
chr13:63187313-63187314,chr13:63045392-63045393
chr13:63243867-63243868,chr13:63120626-63120627
chr13:63252395-63252396,chr13:63045392-63045393
chr13:63258125-63258126,chr13:63120626-63120627
chr13:63278842-63278843,chr13:63045392-63045393
chr13:63303397-63303398,chr13:63120626-63120627
chr13:63325152-63325153,chr13:63187313-63187314
chr13:63187313-63187314,chr13:63243867-63243868
chr13:63243867-63243868,chr13:63045392-63045393
chr13:63252395-63252396,chr13:63243867-63243868
chr13:63252395-63252396,chr13:63252395-63252396
chr13:63252395-63252396,chr13:63045392-63045393
chr13:63258125-63258126,chr13:63243867-63243868
chr13:63278842-63278843,chr13:63252395-63252396
chr13:63258125-63258126,chr13:63045392-63045393
chr13:63278842-63278843,chr13:63045392-63045393
chr13:63431086-63431087,chr13:63421216-63421217
chr13:63562467-63562468,chr13:63431086-63431087
chr13:63814782-63814783,chr13:63431086-63431087
chr13:63917227-63917228,chr13:63431086-63431087
chr13:63917227-63917228,chr13:63562467-63562468
chr13:64432928-64432929,chr13:64370553-64370554
chr13:65113339-65113340,chr13:64432928-64432929
chr13:65278667-65278668,chr13:64432928-64432929
chr13:65278667-65278668,chr13:65241973-65241974
chr13:66931907-66931908,chr13:66905176-66905177
chr13:71910601-71910602,chr13:71457855-71457856
chr13:72628648-72628649,chr13:71457855-71457856
chr13:72628648-72628649,chr13:71648967-71648968
chr13:75797952-75797953,chr13:75707813-75707814
chr13:75789839-75789840,chr13:74771557-74771558
chr13:75797952-75797953,chr13:75707813-75707814
chr13:75797952-75797953,chr13:75789839-75789840
chr13:75950540-75950541,chr13:75943371-75943372
chr13:80940990-80940991,chr13:80884520-80884521
chr13:80962746-80962747,chr13:80884520-80884521
chr13:81657656-81657657,chr13:80940990-80940991
chr13:80962746-80962747,chr13:80884520-80884521
chr13:90089816-90089817,chr13:89740818-89740819
chr13:90151855-90151856,chr13:89740818-89740819
chr13:90464473-90464474,chr13:89740818-89740819
chr13:90515764-90515765,chr13:89740818-89740819
chr13:90546968-90546969,chr13:90089816-90089817
chr13:90798559-90798560,chr13:89740818-89740819
chr13:90515764-90515765,chr13:89740818-89740819
chr13:90798559-90798560,chr13:90515764-90515765
chr13:92354699-92354700,chr13:91807568-91807569
chr13:92531009-92531010,chr13:91807568-91807569
chr13:92610919-92610920,chr13:92531009-92531010
chr13:92676638-92676639,chr13:92531009-92531010
chr13:93192551-93192552,chr13:92610919-92610920
chr13:93303830-93303831,chr13:92531009-92531010
chr13:92676638-92676639,chr13:92610919-92610920
chr13:93192551-93192552,chr13:92531009-92531010
chr13:93303830-93303831,chr13:93192551-93192552
chr13:94359227-94359228,chr13:94285270-94285271
chr13:95547882-95547883,chr13:95426669-95426670
chr13:95451722-95451723,chr13:95375166-95375167
chr13:95547882-95547883,chr13:95426669-95426670
chr13:95547882-95547883,chr13:95451722-95451723
chr13:95547882-95547883,chr13:95526232-95526233
chr13:95618443-95618444,chr13:95547882-95547883
chr13:95633599-95633600,chr13:95547882-95547883
chr13:95641430-95641431,chr13:95547882-95547883
chr13:96542271-96542272,chr13:95618443-95618444
chr13:96671046-96671047,chr13:95633599-95633600
chr13:95641430-95641431,chr13:95547882-95547883
chr13:95641430-95641431,chr13:95547882-95547883
chr13:97138060-97138061,chr13:96924763-96924764
chr13:96938836-96938837,chr13:96671046-96671047
chr13:97928470-97928471,chr13:97240389-97240390
chr13:97249885-97249886,chr13:97240389-97240390
chr13:97470351-97470352,chr13:97240389-97240390
chr13:97485271-97485272,chr13:97249885-97249886
chr13:97928470-97928471,chr13:97205463-97205464
chr13:98262645-98262646,chr13:97240389-97240390
chr13:97485271-97485272,chr13:97249885-97249886
chr13:97928470-97928471,chr13:97485271-97485272
chr13:97928470-97928471,chr13:97240389-97240390
chr13:99391889-99391890,chr13:99385347-99385348
chr13:102232503-102232504,chr13:101768296-101768297
chr13:102625696-102625697,chr13:101768296-101768297
chr13:102906271-102906272,chr13:102897599-102897600
chr13:104520390-104520391,chr13:104287615-104287616
chr13:104693313-104693314,chr13:104287615-104287616
chr13:104520390-104520391,chr13:104448527-104448528
chr13:104693313-104693314,chr13:104287615-104287616
chr13:104693313-104693314,chr13:104448527-104448528
chr13:104448527-104448528,chr13:104460770-104460771
chr13:104460770-104460771,chr13:104287615-104287616
chr13:104468096-104468097,chr13:104448527-104448528
chr13:104513993-104513994,chr13:104460770-104460771
chr13:104520390-104520391,chr13:104468096-104468097
chr13:104542220-104542221,chr13:104109647-104109648
chr13:104693313-104693314,chr13:104178992-104178993
chr13:104817132-104817133,chr13:104287615-104287616
chr13:104460770-104460771,chr13:104448527-104448528
chr13:104468096-104468097,chr13:104460770-104460771
chr13:104513993-104513994,chr13:104468096-104468097
chr13:104520390-104520391,chr13:104513993-104513994
chr13:104542220-104542221,chr13:104287615-104287616
chr13:104693313-104693314,chr13:104448527-104448528
chr13:104468096-104468097,chr13:104460770-104460771
chr13:104513993-104513994,chr13:104468096-104468097
chr13:104520390-104520391,chr13:104520390-104520391
